id;c_name;ticker;sector;industry;no_yrs;ranking;price;yield;dividend;payouts;annualized
1;Agilent Technologies Inc.;A;Health Care;Life Sciences Tools & Services;9;527;77.07;0.93;0.1800;4;0.72
2;Aaron's Inc.;AAN;Consumer Discretionary;Specialty Retail;17;219;39.33;0.41;0.0400;4;0.16
3;Apple Inc.;AAPL;Information Technology;Technology Hardware. Storage & Peripherals;8;564;273.36;1.13;0.7700;4;3.08
4;American Assets Trust Inc.;AAT;Real Estate;Equity Real Estate Investment Trusts (REITs);9;522;41.45;2.90;0.3000;4;1.20
5;AbbVie Inc.;ABBV;Health Care;Biotechnology;8;619;85.71;5.51;1.1800;4;4.72
6;AmerisourceBergen Corp.;ABC;Health Care;Health Care Providers & Services;16;248;84.32;1.99;0.4200;4;1.68
7;ABM Industries Inc.;ABM;Industrials;Commercial Services & Supplies;53;18;32.92;2.25;0.1850;4;0.74
8;Arbor Realty Trust Inc.;ABR;Financials;Mortgage Real Estate Investment Trusts (REITs);8;599;12.14;9.88;0.3000;4;1.20
9;Abbott Laboratories;ABT;Health Care;Health Care Equipment & Supplies;7;707;77.03;1.87;0.3600;4;1.44
10;American Campus Communities;ACC;Real Estate;Equity Real Estate Investment Trusts (REITs);7;666;43.44;4.33;0.4700;4;1.88
11;Accenture plc;ACN;Information Technology;IT Services;15;266;180.59;1.77;0.8000;4;3.20
12;Acme United Corp.;ACU;Industrials;Commercial Services & Supplies;16;230;23.22;2.07;0.1200;4;0.48
13;Agree Realty Corp.;ADC;Real Estate;Equity Real Estate Investment Trusts (REITs);8;609;71.82;3.26;0.5850;4;2.34
14;Analog Devices Inc.;ADI;Information Technology;Semiconductors & Semiconductor Equipment;18;195;109.05;2.27;0.6200;4;2.48
15;Archer Daniels Midland;ADM;Consumer Staples;Food Products;45;54;37.65;3.82;0.3600;4;1.44
16;Automatic Data Proc.;ADP;Information Technology;IT Services;44;59;154.74;2.35;0.9100;4;3.64
17;Ameren Corp;AEE;Utilities;Multi-Utilities;6;789;79.00;2.51;0.4950;4;1.98
18;American Equity Investment Life Holding Co.;AEL;Financials;Insurance;17;215;25.28;1.19;0.3000;1;0.30
19;American Electric Power Co.;AEP;Utilities;Electric Utilities;10;380;89.26;3.14;0.7000;4;2.80
20;AES Corp.;AES;Utilities;Independent Power and Renewable Electricity Producers;9;529;16.73;3.43;0.1433;4;0.57
21;American Financial Group Inc.;AFG;Financials;Insurance;14;281;92.42;1.95;0.4500;4;1.80
22;AFLAC Inc.;AFL;Financials;Insurance;38;70;42.85;2.61;0.2800;4;1.12
23;AGCO Corp.;AGCO;Industrials;Machinery;7;670;60.43;1.06;0.1600;4;0.64
24;Federal Agricultural Mortgage Corp.;AGM;Financials;Thrifts & Mortgage Finance;9;544;75.06;4.26;0.8000;4;3.20
25;Assured Guaranty Ltd.;AGO;Financials;Insurance;9;540;40.81;1.96;0.2000;4;0.80
26;Armada Hoffler Properties Inc.;AHH;Real Estate;Equity Real Estate Investment Trusts (REITs);8;647;16.76;5.25;0.2200;4;0.88
27;Applied Industrial Technologies Inc.;AIT;Industrials;Trading Companies & Distributors;11;324;58.99;2.17;0.3200;4;1.28
28;Apartment Investment & Management Co.;AIV;Real Estate;Equity Real Estate Investment Trusts (REITs);10;403;47.84;3.43;0.4100;4;1.64
29;Assurant Inc.;AIZ;Financials;Insurance;16;244;120.59;2.09;0.6300;4;2.52
30;Arthur J. Gallagher & Co.;AJG;Financials;Insurance;10;416;97.49;1.85;0.4500;4;1.80
31;Great Ajax Corp.;AJX;Financials;Mortgage Real Estate Investment Trusts (REITs);5;823;14.13;9.06;0.3200;4;1.28
32;Acadia Realty Trust;AKR;Real Estate;Equity Real Estate Investment Trusts (REITs);7;700;22.84;5.08;0.2900;4;1.16
33;Air Lease Corp.;AL;Industrials;Trading Companies & Distributors;8;611;38.36;1.56;0.1500;4;0.60
34;Albemarle Corp.;ALB;Materials;Chemicals;25;133;81.85;1.80;0.3675;4;1.47
35;Allete Inc.;ALE;Utilities;Electric Utilities;10;404;68.99;3.58;0.6175;4;2.47
36;Alamo Group Inc;ALG;Industrials;Machinery;6;794;110.77;0.47;0.1300;4;0.52
37;Alaska Air Group Inc.;ALK;Industrials;Airlines;8;632;50.46;2.97;0.3750;4;1.50
38;Allstate Corp.;ALL;Financials;Insurance;10;425;105.25;2.05;0.5400;4;2.16
39;Allegion plc;ALLE;Industrials;Building Products;7;727;114.99;1.11;0.3200;4;1.28
40;Ally Financial Inc.;ALLY;Financials;Consumer Finance;5;859;25.07;3.03;0.1900;4;0.76
41;Autoliv Inc.;ALV;Consumer Discretionary;Auto Components;10;342;66.73;3.72;0.6200;4;2.48
42;Amgen Inc.;AMGN;Health Care;Biotechnology;10;408;199.73;3.20;1.6000;4;6.40
43;American National Bankshares Inc.;AMNB;Financials;Banks;5;837;30.89;3.50;0.2700;4;1.08
44;Armanino Foods of Distinction Inc.;AMNF;Consumer Staples;Food Products;14;274;3.30;3.03;0.0250;4;0.10
45;Ameriprise Financial Inc.;AMP;Financials;Capital Markets;15;256;141.30;2.75;0.9700;4;3.88
46;Amerisafe Inc.;AMSF;Financials;Insurance;8;641;65.17;1.66;0.2700;4;1.08
47;American Tower Corp.;AMT;Real Estate;Equity Real Estate Investment Trusts (REITs);10;392;226.80;1.78;1.0100;4;4.04
48;TD Ameritrade Holding Corp.;AMTD;Financials;Capital Markets;10;374;42.23;2.94;0.3100;4;1.24
49;Andersons Inc. (The);ANDE;Consumer Staples;Food & Staples Retailing;18;193;18.37;3.81;0.1750;4;0.70
50;Anthem Inc.;ANTM;Health Care;Health Care Providers & Services;10;420;257.09;1.48;0.9500;4;3.80
51;Aon plc;AON;Financials;Insurance;8;563;208.00;0.85;0.4400;4;1.76
52;A.O. Smith Corp.;AOS;Industrials;Building Products;26;126;39.55;2.43;0.2400;4;0.96
53;Air Products & Chem.;APD;Materials;Chemicals;38;71;219.61;2.44;1.3400;4;5.36
54;Amphenol Corp.;APH;Information Technology;Electronic Equipment. Instruments & Components;8;587;91.68;1.09;0.2500;4;1.00
55;Apollo Bancorp Inc.;APLO;Financials;Banks;9;521;42.00;4.95;0.5200;4;2.08
56;Apogee Enterprises Inc.;APOG;Industrials;Building Products;9;533;30.19;2.48;0.1875;4;0.75
57;Preferred Apartment Communities Inc.;APTS;Real Estate;Equity Real Estate Investment Trusts (REITs);9;487;9.54;11.01;0.2625;4;1.05
58;Alexandria Real Estate Equities Inc.;ARE;Real Estate;Equity Real Estate Investment Trusts (REITs);10;393;151.88;2.71;1.0300;4;4.12
59;Argo Group International Holdings Ltd.;ARGO;Financials;Insurance;7;655;56.26;2.20;0.3100;4;1.24
60;Aramark Services Inc.;ARMK;Consumer Discretionary;Hotels. Restaurants & Leisure;6;740;34.74;1.27;0.1100;4;0.44
61;Arrow Financial Corp.;AROW;Financials;Banks;26;117;31.67;3.28;0.2600;4;1.04
62;Artesian Resources;ARTNA;Utilities;Water Utilities;27;109;34.33;2.91;0.2496;4;1.00
63;Associated Banc-Corp;ASB;Financials;Banks;8;606;16.93;4.25;0.1800;4;0.72
64;Ashland Global Holdings Inc.;ASH;Materials;Chemicals;10;369;71.54;1.54;0.2750;4;1.10
65;Ames National Corp.;ATLO;Financials;Banks;10;434;25.87;3.87;0.2500;4;1.00
66;Atmos Energy;ATO;Utilities;Gas Utilities;36;75;103.25;2.23;0.5750;4;2.30
67;AptarGroup Inc.;ATR;Materials;Containers & Packaging;26;119;101.07;1.42;0.3600;4;1.44
68;Atrion Corp.;ATRI;Health Care;Health Care Equipment & Supplies;17;211;616.31;1.01;1.5500;4;6.20
69;Activision Blizzard Inc.;ATVI;Communication Services;Entertainment;11;341;58.13;0.71;0.4100;1;0.41
70;Atlantic Union Bankshares Corp.;AUB;Financials;Banks;9;494;29.74;3.36;0.2500;4;1.00
71;Auburn National Bancorp;AUBN;Financials;Banks;19;179;56.99;1.79;0.2550;4;1.02
72;Avista Corp.;AVA;Utilities;Multi-Utilities;18;197;47.15;3.44;0.4050;4;1.62
73;Avalonbay Communities Inc.;AVB;Real Estate;Equity Real Estate Investment Trusts (REITs);9;550;200.59;3.17;1.5900;4;6.36
74;Broadcom Limited;AVGO;Information Technology;Semiconductors & Semiconductor Equipment;10;385;272.62;4.77;3.2500;4;13.00
75;Avnet Inc.;AVT;Information Technology;Electronic Equipment. Instruments & Components;7;680;30.68;2.74;0.2100;4;0.84
76;Avery Dennison Corp.;AVY;Materials;Containers & Packaging;9;481;114.49;2.03;0.5800;4;2.32
77;American Water Works;AWK;Utilities;Water Utilities;12;298;123.66;1.62;0.5000;4;2.00
78;American States Water;AWR;Utilities;Water Utilities;65;1;76.59;1.59;0.3050;4;1.22
79;American Express Company;AXP;Financials;Consumer Finance;8;597;109.93;1.56;0.4300;4;1.72
80;Axis Capital Holdings Ltd.;AXS;Financials;Insurance;18;192;56.12;2.92;0.4100;4;1.64
81;Aircastle Limited;AYR;Industrials;Trading Companies & Distributors;9;516;31.85;4.02;0.3200;4;1.28
82;Barnes Group Inc.;B;Industrials;Machinery;9;436;53.70;1.19;0.1600;4;0.64
83;Boeing Company;BA;Industrials;Aerospace & Defense;8;560;275.11;2.99;2.0550;4;8.22
84;Bank of America Corp;BAC;Financials;Banks;6;775;28.5;2.53;0.1800;4;0.72
85;Booz Allen Hamilton Holding Corp.;BAH;Information Technology;IT Services;9;536;71.30;1.74;0.3100;4;1.24
86;Brookfield Asset Management Inc.;BAM;Financials;Capital Markets;9;545;59.96;1.20;0.1800;4;0.72
87;BancFirst Corp. OK;BANF;Financials;Banks;26;125;51.30;2.50;0.3200;4;1.28
88;Banner Corp.;BANR;Financials;Banks;7;662;45.64;3.59;0.4100;4;1.64
89;Best Buy Corp.;BBY;Consumer Discretionary;Specialty Retail;17;227;75.65;2.91;0.5500;4;2.20
90;Brunswick Corp.;BC;Consumer Discretionary;Leisure Products;7;693;53.20;1.80;0.2400;4;0.96
91;Balchem Inc.;BCPC;Materials;Chemicals;11;318;94.46;0.55;0.5200;1;0.52
92;Flanigan's Enterprises Inc.;BDL;Consumer Discretionary;Hotels. Restaurants & Leisure;5;827;20.49;1.37;0.2800;1;0.28
93;Becton Dickinson & Co.;BDX;Health Care;Health Care Equipment & Supplies;48;39;237.82;1.33;0.7900;4;3.16
94;Franklin Resources;BEN;Financials;Capital Markets;40;65;21.76;4.96;0.2700;4;1.08
95;Brookfield Renewable Partners LP;BEP;Utilities;Independent Power and Renewable Electricity Producers;11;336;49.86;4.35;0.5425;4;2.17
96;Brown-Forman Class B;BF-B;Consumer Staples;Beverages;36;76;61.41;1.14;0.1743;4;0.70
97;BankFinancial Corp.;BFIN;Financials;Thrifts & Mortgage Finance;6;736;11.34;3.53;0.1000;4;0.40
98;Saul Centers Inc.;BFS;Real Estate;Equity Real Estate Investment Trusts (REITs);6;743;43.01;4.93;0.5300;4;2.12
99;Bunge Limited;BG;Consumer Staples;Food Products;19;174;46.95;4.26;0.5000;4;2.00
100;B&G Foods Inc.;BGS;Consumer Staples;Food Products;9;439;14.80;12.84;0.4750;4;1.90
101;Bar Harbor Bankshares;BHB;Financials;Banks;16;234;20.42;4.31;0.2200;4;0.88
102;Berkshire Hills Bancorp Inc.;BHLB;Financials;Banks;6;801;24.41;3.93;0.2400;4;0.96
103;Brookfield Infrastructure Partners LP;BIP;Utilities;Multi-Utilities;13;294;50.54;4.25;0.5375;4;2.15
104;Bank of New York Mellon Corp.;BK;Financials;Capital Markets;9;492;39.90;3.11;0.3100;4;1.24
105;Black Hills Corp.;BKH;Utilities;Multi-Utilities;49;31;72.20;2.96;0.5350;4;2.14
106;Bank of South Carolina Corp.;BKSC;Financials;Banks;9;466;17.25;3.71;0.1600;4;0.64
107;Bank of Utica;BKUTK;Financials;Banks;20;171;420.00;3.69;7.7500;2;15.50
108;BlackRock Inc.;BLK;Financials;Capital Markets;11;333;463.01;3.14;3.6300;4;14.52
109;Bloomin' Brands Inc.;BLMN;Consumer Discretionary;Hotels. Restaurants & Leisure;6;808;17.99;4.45;0.2000;4;0.80
110;Badger Meter Inc.;BMI;Information Technology;Electronic Equipment. Instruments & Components;27;107;60.21;1.13;0.1700;4;0.68
111;Bank of Marin Bancorp;BMRC;Financials;Banks;16;247;38.13;2.41;0.2300;4;0.92
112;Bryn Mawr Bank Corp.;BMTC;Financials;Banks;9;495;33.24;3.13;0.2600;4;1.04
113;Bristol-Myers Squibb Co.;BMY;Health Care;Pharmaceuticals;11;321;59.06;3.05;0.4500;4;1.80
114;BOK Financial Corp.;BOKF;Financials;Banks;15;267;72.40;2.82;0.5100;4;2.04
115;Bank of Botetourt;BORT;Financials;Banks;8;623;30.00;2.33;0.1750;4;0.70
116;Popular. Inc.;BPOP;Financials;Banks;5;829;47.98;2.50;0.3000;4;1.20
117;Brookfield Property Partners LP;BPY;Real Estate;Real Estate Management & Development;8;645;16.32;8.15;0.3325;4;1.33
118;Broadridge Financial Solutions Inc.;BR;Information Technology;IT Services;13;287;104.36;2.07;0.5400;4;2.16
119;Brady Corp.;BRC;Industrials;Commercial Services & Supplies;34;79;47.34;1.84;0.2175;4;0.87
120;Brown & Brown Inc.;BRO;Financials;Insurance;26;127;43.01;0.79;0.0850;4;0.34
121;Brixmor Property Group;BRX;Real Estate;Equity Real Estate Investment Trusts (REITs);7;701;18.21;6.26;0.2850;4;1.14
122;Bassett Furniture Industries Inc.;BSET;Consumer Discretionary;Household Durables;9;440;9.87;5.07;0.1250;4;0.50
123;Sierra Bancorp;BSRR;Financials;Banks;8;616;23.82;3.36;0.2000;4;0.80
124;First Busey Corp.;BUSE;Financials;Banks;7;704;22.07;3.99;0.2200;4;0.88
125;Bankwell Financial Group Inc.;BWFG;Financials;Banks;6;800;28.47;1.97;0.1400;4;0.56
126;BancorpSouth Inc.;BXS;Financials;Banks;7;682;24.47;3.02;0.1850;4;0.74
127;Citigroup Inc;C;Financials;Banks;5;841;63.46;3.21;0.5100;4;2.04
128;Cable One. Inc.;CABO;Communication Services;Media;5;842;1573.02;0.57;2.2500;4;9.00
129;Cardinal Health Inc.;CAH;Health Care;Health Care Providers & Services;23;149;52.12;3.69;0.4811;4;1.92
130;Cheesecake Factory Inc.;CAKE;Consumer Discretionary;Hotels. Restaurants & Leisure;8;580;35.63;4.04;0.3600;4;1.44
131;Carolina Financial Corp;CARO;Financials;Banks;8;610;32.40;1.23;0.1000;4;0.40
132;Cass Information Systems Inc.;CASS;Information Technology;IT Services;18;190;46.95;2.30;0.2700;4;1.08
133;Casey's General Stores Inc.;CASY;Consumer Staples;Food & Staples Retailing;20;166;163.02;0.79;0.3200;4;1.28
134;Caterpillar Inc.;CAT;Industrials;Machinery;26;124;124.24;3.32;1.0300;4;4.12
135;Cambridge Bancorp;CATC;Financials;Banks;22;159;68.47;3.10;0.5300;4;2.12
136;Cathay General Bancorp;CATY;Financials;Banks;7;654;30.78;4.03;0.3100;4;1.24
137;Chubb Limited;CB;Financials;Insurance;26;121;145.03;2.07;0.7500;4;3.00
138;CBOE Holdings Inc.;CBOE;Financials;Capital Markets;10;367;114.00;1.26;0.3600;4;1.44
139;Cracker Barrel Old Country;CBRL;Consumer Discretionary;Hotels. Restaurants & Leisure;17;208;143.33;3.63;1.3000;4;5.20
140;Commerce Bancshares;CBSH;Financials;Banks;52;26;61.04;1.77;0.2700;4;1.08
141;Cabot Corp.;CBT;Materials;Chemicals;8;569;37.38;3.75;0.3500;4;1.40
142;Community Bank System;CBU;Financials;Banks;28;98;60.81;2.70;0.4100;4;1.64
143;Capital City Bank Group;CCBG;Financials;Banks;6;774;26.65;1.95;0.1300;4;0.52
144;CCFNB Bancorp Inc.;CCFN;Financials;Banks;22;153;49.00;3.18;0.3900;4;1.56
145;Crown Castle International Corp;CCI;Real Estate;Equity Real Estate Investment Trusts (REITs);6;790;143.29;3.35;1.2000;4;4.80
146;Carnival Corporation & Plc;CCL;Consumer Discretionary;Hotels. Restaurants & Leisure;5;821;33.46;5.98;0.5000;4;2.00
147;Cogent Communications Holdings Inc.;CCOI;Communication Services;Diversified Telecommunication Services;9;542;73.01;3.62;0.6600;4;2.64
148;CDW Corp.;CDW;Information Technology;Electronic Equipment. Instruments & Components;7;692;114.22;1.33;0.3800;4;1.52
149;Celanese Corp.;CE;Materials;Chemicals;10;349;93.74;2.65;0.6200;4;2.48
150;C&F Financial Corp.;CFFI;Financials;Banks;8;607;45.50;3.34;0.3800;4;1.52
151;Citizens Financial Group Inc.;CFG;Financials;Banks;7;706;31.69;4.92;0.3900;4;1.56
152;Cullen/Frost Bankers;CFR;Financials;Banks;26;120;78.39;3.62;0.7100;4;2.84
153;Cognex Corporation;CGNX;Information Technology;Electronic Equipment. Instruments & Components;5;848;44.54;0.49;0.0550;4;0.22
154;City Holding Co.;CHCO;Financials;Banks;8;595;69.92;3.26;0.5700;4;2.28
155;Community Healthcare Trust Inc.;CHCT;Real Estate;Equity Real Estate Investment Trusts (REITs);6;802;47.63;3.51;0.4175;4;1.67
156;Church & Dwight;CHD;Consumer Staples;Household Products;24;147;69.52;1.38;0.2400;4;0.96
157;Churchill Downs Inc.;CHDN;Consumer Discretionary;Hotels. Restaurants & Leisure;9;523;125.64;0.46;0.5810;1;0.58
158;Chemed Corp.;CHE;Health Care;Health Care Providers & Services;11;313;417.62;0.31;0.3200;4;1.28
159;C.H. Robinson Worldwide;CHRW;Industrials;Air Freight & Logistics;22;156;68.90;2.96;0.5100;4;2.04
160;Chico's FAS Inc.;CHS;Consumer Discretionary;Specialty Retail;11;337;4.01;8.98;0.0900;4;0.36
161;Cincinnati Financial;CINF;Financials;Insurance;60;9;93.24;2.57;0.6000;4;2.40
162;Civista Bancshares Inc.;CIVB;Financials;Banks;9;511;19.14;2.30;0.1100;4;0.44
163;Colgate-Palmolive Co.;CL;Consumer Staples;Household Products;56;15;67.57;2.55;0.4300;4;1.72
164;Cortland Bancorp;CLDB;Financials;Banks;9;537;21.75;2.57;0.1400;4;0.56
165;Clorox Company;CLX;Consumer Staples;Household Products;42;63;159.42;2.66;1.0600;4;4.24
166;Comerica Inc.;CMA;Financials;Banks;11;339;52.64;5.17;0.6800;4;2.72
167;Comcast Corp.;CMCSA;Communication Services;Media;13;295;40.43;2.28;0.2300;4;0.92
168;Cantel Medical Corp.;CMD;Health Care;Health Care Equipment & Supplies;11;319;63.10;0.33;0.1050;2;0.21
169;CME Group Inc.;CME;Financials;Capital Markets;10;419;198.82;1.71;0.8500;4;3.40
170;Cummins Inc.;CMI;Industrials;Machinery;14;279;151.29;3.47;1.3110;4;5.24
171;CMS Energy Corp.;CMS;Utilities;Multi-Utilities;14;283;60.42;2.70;0.4075;4;1.63
172;Canadian National Railway;CNI;Industrials;Road & Rail;25;140;84.91;2.05;0.4350;4;1.74
173;CNO Financial Group Inc.;CNO;Financials;Insurance;8;572;16.02;2.75;0.1100;4;0.44
174;CenterPoint Energy;CNP;Utilities;Multi-Utilities;15;272;23.02;5.04;0.2900;4;1.16
175;Cohen & Steers Inc.;CNS;Financials;Capital Markets;11;327;62.65;2.49;0.3900;4;1.56
176;CNX Midstream Partners LP;CNXM;Energy;Oil. Gas & Consumable Fuels;6;796;11.71;14.15;0.4143;4;1.66
177;Columbia Banking System Inc.;COLB;Financials;Banks;9;448;33.20;3.37;0.2800;4;1.12
178;Columbia Sportswear Co.;COLM;Consumer Discretionary;Textiles. Apparel & Luxury Goods;15;273;81.30;1.28;0.2600;4;1.04
179;CyrusOne Inc.;CONE;Real Estate;Equity Real Estate Investment Trusts (REITs);7;685;60.58;3.30;0.5000;4;2.00
180;CoreSite Realty Corp.;COR;Real Estate;Equity Real Estate Investment Trusts (REITs);10;358;103.73;4.70;1.2200;4;4.88
181;Core-Mark Holding Company;CORE;Consumer Discretionary;Distributors;9;517;23.01;2.09;0.1200;4;0.48
182;Costco Wholesale;COST;Consumer Staples;Food & Staples Retailing;16;233;281.14;0.92;0.6500;4;2.60
183;Central Pacific Financial Corp.;CPF;Financials;Banks;7;673;23.92;3.85;0.2300;4;0.92
184;Chesapeake Utilities;CPK;Utilities;Gas Utilities;16;236;85.50;1.89;0.4050;4;1.62
185;Chesapeake Financial Shares;CPKF;Financials;Banks;28;99;23.49;2.13;0.1250;4;0.50
186;Camden Property Trust;CPT;Real Estate;Equity Real Estate Investment Trusts (REITs);10;430;105.98;3.13;0.8300;4;3.32
187;Carter's Inc.;CRI;Consumer Discretionary;Textiles. Apparel & Luxury Goods;8;637;91.47;2.62;0.6000;4;2.40
188;Cisco Systems Inc.;CSCO;Information Technology;Communications Equipment;10;431;39.93;3.61;0.3600;4;1.44
189;CenterState Bank Corp.;CSFL;Financials;Banks;6;815;20.23;2.77;0.1400;4;0.56
190;CSG Systems International Inc.;CSGS;Information Technology;IT Services;8;639;44.25;2.12;0.2350;4;0.94
191;Carlisle Companies;CSL;Industrials;Industrial Conglomerates;43;61;145.29;1.38;0.5000;4;2.00
192;Computer Services Inc.;CSVI;Information Technology;IT Services;48;38;52.00;1.62;0.2100;4;0.84
193;CSX Corp.;CSX;Industrials;Road & Rail;16;250;70.45;1.48;0.2600;4;1.04
194;Cintas Corp.;CTAS;Industrials;Commercial Services & Supplies;37;74;266.74;0.96;2.5500;1;2.55
195;Community Trust Banc.;CTBI;Financials;Banks;39;66;38.68;3.93;0.3800;4;1.52
196;Consolidated-Tomoka Land Co.;CTO;Real Estate;Real Estate Management & Development;8;628;57.51;1.74;0.25;4;1.00
197;CareTrust REIT Inc.;CTRE;Real Estate;Equity Real Estate Investment Trusts (REITs);6;751;20.87;4.31;0.225;4;0.90
198;CubeSmart;CUBE;Real Estate;Equity Real Estate Investment Trusts (REITs);10;394;30.27;4.36;0.3300;4;1.32
199;Culp Inc.;CULP;Consumer Discretionary;Textiles. Apparel & Luxury Goods;9;526;9.12;4.61;0.1050;4;0.42
200;CVB Financial Corp.;CVBF;Financials;Banks;7;661;18.54;3.88;0.1800;4;0.72
201;Calavo Growers Inc.;CVGW;Consumer Staples;Food Products;8;602;72.45;1.52;1.1000;1;1.10
202;Codorus Valley Bancorp Inc.;CVLY;Financials;Banks;9;447;20.60;3.11;0.1600;4;0.64
203;Chevron Corp.;CVX;Energy;Oil. Gas & Consumable Fuels;33;87;93.34;5.53;1.2900;4;5.16
204;Community West Bancshares;CWBC;Financials;Banks;6;756;10.85;2.03;0.0550;4;0.22
205;California Water Service;CWT;Utilities;Water Utilities;53;19;47.96;1.77;0.2125;4;0.85
206;Citizens Financial Services;CZFS;Financials;Banks;21;163;63.25;2.85;0.4500;4;1.80
207;Dominion Energy Inc.;D;Utilities;Multi-Utilities;17;225;78.18;4.81;0.9400;4;3.76
208;Delta Air Lines Inc.;DAL;Industrials;Airlines;7;678;46.13;3.49;0.4025;4;1.61
209;Donaldson Company;DCI;Industrials;Machinery;33;82;45.08;1.86;0.2100;4;0.84
210;Dillard's Inc.;DDS;Consumer Discretionary;Multiline Retail;9;512;56.29;1.07;0.1500;4;0.60
211;Douglas Emmett Inc.;DEI;Real Estate;Equity Real Estate Investment Trusts (REITs);10;395;38.18;2.93;0.2800;4;1.12
212;Discover Financial Services;DFS;Financials;Consumer Finance;9;498;65.58;2.68;0.4400;4;1.76
213;Dollar General Corp.;DG;Consumer Discretionary;Multiline Retail;5;831;150.30;0.85;0.3200;4;1.28
214;Donegal Group Inc. A;DGICA;Financials;Insurance;17;204;14.27;4.06;0.1450;4;0.58
215;Donegal Group Inc. B;DGICB;Financials;Insurance;17;205;11.71;4.36;0.1275;4;0.51
